GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SystemAccountWebSpringBoot,za.ac.nwu.ac.web.sb.Config,SwaggerConfiguration,40,0,0,0,10,0,3,0,3,0
SystemAccountWebSpringBoot,za.ac.nwu.ac.web.sb.Config,WebConfig,3,0,0,0,1,0,1,0,1,0
SystemAccountWebSpringBoot,za.ac.nwu.ac.web.sb.Controler,AccountTransactionController,67,12,4,0,13,5,5,1,3,1
SystemAccountWebSpringBoot,za.ac.nwu.ac.web.sb.Controler,AccountTypeController,59,0,0,0,13,0,4,0,4,0
SystemAccountWebSpringBoot,za.ac.nwu.ac.web.sb,RestServiceApplication,8,0,0,0,3,0,2,0,2,0
